N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+78+158,0.00000000,2,0.00000000,0.00000000,6.804909e-13, 8.324 11.654 17.366 
3mer-0+11+108,0.00000000,1,0.00000000,0.00000000,2.040232e-11, 2.680 11.654 17.366 
3mer-0+20+108,0.00000000,1,0.00000000,0.00000000,1.278792e-12, 6.746 11.654 17.366 
3mer-0+92+94,0.00000000,1,0.00000000,0.00000000,2.566158e-13,11.522 11.654 17.366 
3mer-0+16+88,0.00000000,2,0.00000000,0.00000000,3.344038e-12, 4.716 12.099 17.366 
3mer-0+16+133,0.00000000,2,0.00000000,0.00000000,3.344038e-12, 4.716 12.099 17.366 
3mer-0+26+88,0.00000000,2,0.00000000,0.00000000,5.598873e-13, 8.557 12.099 17.366 
3mer-0+18+99,0.00000000,2,0.00000000,0.00000000,8.341348e-13, 7.492 12.099 17.366 
3mer-0+42+82,0.00000000,1,0.00000000,0.00000000,6.579622e-13, 7.992 12.275 17.366 
3mer-0+31+102,0.00000000,1,0.00000000,0.00000000,7.934069e-13, 7.489 12.308 17.366 
3mer-0+74+102,0.00000000,1,0.00000000,0.00000000,1.728957e-13,12.308 12.445 17.366 
3mer-0+15+163,0.00000000,1,0.00000000,0.00000000,1.350026e-12, 6.186 12.481 17.366 
3mer-0+46+163,0.00000000,1,0.00000000,0.00000000,2.049925e-12, 5.382 12.481 17.366 
3mer-0+146+147,0.00000000,1,0.00000000,0.00000000,1.085518e-13,13.272 13.478 17.366 
3mer-0+142+146,0.00000000,1,0.00000000,0.00000000,1.753267e-13,11.312 13.478 17.366 
3mer-0+82+103,0.00000000,1,0.00000000,0.00000000,1.361645e-13,12.275 13.512 17.366 
3mer-0+47+89,0.00000000,1,0.00000000,0.00000000,2.502773e-13,10.021 13.512 17.366 
3mer-0+14+149,0.00000000,1,0.00000000,0.00000000,1.568044e-12, 5.382 13.648 17.366 
3mer-0+57+149,0.00000000,1,0.00000000,0.00000000,1.581373e-13,11.562 13.648 17.366 
3mer-0+27+113,0.00000000,1,0.00000000,0.00000000,5.736100e-13, 7.489 13.713 17.366 
3mer-0+81+113,0.00000000,1,0.00000000,0.00000000,1.249985e-13,12.445 13.713 17.366 
3mer-0+127+137,0.00000000,1,0.00000000,0.00000000,9.768983e-14,13.478 13.747 17.366 
3mer-0+52+157,0.00000000,1,0.00000000,0.00000000,1.531127e-13,10.840 14.714 17.366 
3mer-0+3+161,0.00000000,1,0.00000000,0.00000000,9.734267e-12, 2.632 15.184 17.366 
3mer-0+33+161,0.00000000,1,0.00000000,0.00000000,1.767913e-13,10.013 15.184 17.366 
3mer-0+72+159,0.00000000,1,0.00000000,0.00000000,1.329708e-13,10.744 15.560 17.366 
3mer-0+26+162,0.00000000,1,0.00000000,0.00000000,2.544596e-13, 8.557 15.736 17.366 
3mer-0+144+162,0.00000000,1,0.00000000,0.00000000,4.018500e-14,15.736 15.831 17.366 
3mer-0+18+150,0.00000000,1,0.00000000,0.00000000,3.791006e-13, 7.492 15.736 17.366 
3mer-0+141+150,0.00000000,1,0.00000000,0.00000000,4.130805e-14,15.686 15.736 17.366 
3mer-0+58+83,0.00000000,1,0.00000000,0.00000000,4.102869e-12, 4.956 10.744 17.382 
3mer-0+72+83,0.00000000,1,0.00000000,0.00000000,4.102869e-12, 4.956 10.744 17.382 
3mer-0+34+50,0.00000000,1,0.00000000,0.00000000,4.365134e-12, 5.156 10.117 17.382 
3mer-0+39+97,0.00000000,1,0.00000000,0.00000000,2.983552e-12, 6.194  9.561 17.382 
3mer-0+34+49,0.00000000,1,0.00000000,0.00000000,1.424783e-12, 7.489 10.117 17.382 
3mer-0+72+117,0.00000000,1,0.00000000,0.00000000,1.187845e-12, 7.492 10.744 17.382 
3mer-0+8+124,0.00000000,2,0.00000000,0.00000000,6.168376e-12, 6.194  7.505 17.382 
3mer-0+9+124,0.00000000,2,0.00000000,0.00000000,6.168376e-12, 6.194  7.505 17.382 
3mer-0+58+122,0.00000000,1,0.00000000,0.00000000,7.973048e-13, 8.557 10.744 17.382 
3mer-0+116+122,0.00000000,1,0.00000000,0.00000000,3.889956e-13, 8.557 13.648 17.382 
3mer-0+33+87,0.00000000,1,0.00000000,0.00000000,9.720354e-13, 8.595 10.013 17.382 
3mer-0+36+87,0.00000000,1,0.00000000,0.00000000,9.720354e-13, 8.595 10.013 17.382 
3mer-0+71+112,0.00000000,1,0.00000000,0.00000000,4.974345e-13, 8.756 12.288 17.382 
3mer-0+8+165,0.00000000,2,0.00000000,0.00000000,2.591298e-12, 6.194 10.021 17.382 
3mer-0+61+165,0.00000000,1,0.00000000,0.00000000,5.415084e-13,10.021 10.437 17.382 
3mer-0+33+134,0.00000000,1,0.00000000,0.00000000,5.441698e-13,10.013 10.429 17.382 
3mer-0+89+134,0.00000000,1,0.00000000,0.00000000,2.214648e-13,10.429 13.512 17.382 
3mer-0+36+118,0.00000000,1,0.00000000,0.00000000,4.616765e-13,10.013 11.016 17.382 
3mer-0+103+118,0.00000000,1,0.00000000,0.00000000,1.878919e-13,11.016 13.512 17.382 
3mer-0+150+154,0.00000000,1,0.00000000,0.00000000,1.147217e-13,11.150 15.736 17.382 
3mer-0+49+70,0.00000000,1,0.00000000,0.00000000,9.544956e-13, 7.489 11.562 17.382 
3mer-0+125+139,0.00000000,1,0.00000000,0.00000000,1.070590e-13,11.651 15.410 17.382 
3mer-0+131+139,0.00000000,1,0.00000000,0.00000000,1.070590e-13,11.651 15.410 17.382 
3mer-0+140+158,0.00000000,1,0.00000000,0.00000000,1.282220e-13,11.654 14.507 17.382 
3mer-0+56+75,0.00000000,1,0.00000000,0.00000000,1.601388e-12, 6.186 11.780 17.382 
3mer-0+24+75,0.00000000,1,0.00000000,0.00000000,2.302299e-11, 2.544 11.780 17.382 
3mer-0+131+160,0.00000000,1,0.00000000,0.00000000,1.016163e-13,11.855 15.410 17.382 
3mer-0+70+133,0.00000000,1,0.00000000,0.00000000,2.263669e-13,11.562 12.099 17.382 
3mer-0+50+71,0.00000000,1,0.00000000,0.00000000,2.435696e-12, 5.156 12.288 17.382 
3mer-0+24+74,0.00000000,1,0.00000000,0.00000000,1.952790e-11, 2.544 12.445 17.382 
3mer-0+51+74,0.00000000,1,0.00000000,0.00000000,2.062463e-12, 5.382 12.445 17.382 
3mer-0+141+163,0.00000000,1,0.00000000,0.00000000,8.255441e-14,12.481 15.686 17.382 
3mer-0+117+149,0.00000000,1,0.00000000,0.00000000,5.795357e-13, 7.492 13.648 17.382 
3mer-0+100+123,0.00000000,1,0.00000000,0.00000000,7.663684e-13, 6.746 13.810 17.382 
