N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Minimum Monomer Separations (A)
3mer-0+74+119,0.00001024,1,0.00000341,-76.43891059,7.225302e-14,12.445 12.481 22.905 
3mer-0+63+163,-0.00001155,1,-0.00000385,-76.43891444,8.518484e-14,11.780 12.481 22.905 
3mer-0+87+147,0.00002415,1,0.00000805,-76.43890639,1.824152e-13, 8.595 13.272 22.905 
3mer-0+62+149,-0.00004883,1,-0.00001628,-76.43892267,7.770285e-13, 5.156 13.648 22.905 
3mer-0+85+121,-0.00004358,1,-0.00001453,-76.43893720,1.537722e-13, 8.324 14.507 22.905 
3mer-0+154+155,0.00001234,1,0.00000411,-76.43893308,6.325060e-14,11.150 14.563 22.905 
3mer-0+37+157,0.00006012,1,0.00002004,-76.43891304,5.070793e-13, 5.514 14.714 22.905 
3mer-0+55+136,-0.00002573,1,-0.00000858,-76.43892162,9.320325e-14, 9.698 14.714 22.905 
3mer-0+49+143,-0.00002415,1,-0.00000805,-76.43892967,1.933651e-13, 7.489 14.939 22.905 
3mer-0+111+161,0.00001444,1,0.00000481,-76.43892486,1.218232e-13, 8.595 15.184 22.905 
3mer-0+139+159,0.00000893,1,0.00000298,-76.43892188,4.544762e-14,11.651 15.560 22.905 
3mer-0+60+150,0.00000656,1,0.00000219,-76.43891969,1.204731e-13, 8.324 15.736 22.905 
3mer-0+81+97,-0.00004043,1,-0.00001348,-76.43893317,5.884194e-13, 6.194 12.445 22.943 
